Greenhouse_Gas_Source_And_Sink_Categors,Sheet,State,Year,value
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Australian Capital Territory,Australian Capital Territory,1990,1126.2806
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Australian Capital Territory,Australian Capital Territory,1991,1283.48837
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Australian Capital Territory,Australian Capital Territory,1992,1157.545615
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Australian Capital Territory,Australian Capital Territory,1993,1187.171425
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Australian Capital Territory,Australian Capital Territory,1994,1427.094346
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Australian Capital Territory,Australian Capital Territory,1995,1167.165736
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Australian Capital Territory,Australian Capital Territory,1996,1213.127218
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Australian Capital Territory,Australian Capital Territory,1997,1151.890641
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Australian Capital Territory,Australian Capital Territory,1998,1180.346601
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Australian Capital Territory,Australian Capital Territory,1999,1364.763744
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Australian Capital Territory,Australian Capital Territory,2000,1246.459672
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Australian Capital Territory,Australian Capital Territory,2001,1113.553046
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Australian Capital Territory,Australian Capital Territory,2002,1186.18436
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Australian Capital Territory,Australian Capital Territory,2003,1230.92871
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Australian Capital Territory,Australian Capital Territory,2004,1566.341127
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Australian Capital Territory,Australian Capital Territory,2005,1391.425109
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Australian Capital Territory,Australian Capital Territory,2006,1476.921209
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Australian Capital Territory,Australian Capital Territory,2007,1320.043971
